method,mean_source_acc,target_accuracy,target_macro_f1,target_acc_change_vs_source_only,domain_separability
source_only,0.933738648891449,0.6607279181480408,0.6747991673447807,0.0,0.9972527472527473
dan,0.9245813091595968,0.6719266772270203,0.6068751066269573,0.011198759078979492,0.9230769230769231
dann,0.1966910163561503,0.19597862660884857,0.04682843763303533,-0.4647492915391922,0.9244505494505495
cdan,0.7619396050771078,0.11911427974700928,0.12367948567505287,-0.5416136384010315,1.0
