method,mean_source_accuracy,worst_source_accuracy,sketch_accuracy,sketch_accuracy_change_vs_erm,source_domain_separability,sharpness_proxy
erm,0.933738648891449,0.8951219320297241,0.6607279181480408,0.0,0.8604651162790697,0.22066912055015564
dan_dg,0.9164759914080302,0.8804877996444702,0.6950877904891968,0.034359872341156006,0.7940199335548173,0.17094504833221436
sam,0.9402231574058533,0.9073171019554138,0.6737083196640015,0.012980401515960693,0.9169435215946844,0.06184355914592743
