model,n_shape,n_texture,n_other,shape_bias_pct,coverage_pct
resnet50,85,53,71,61.594202898550726,66.02870813397129
vit_b_16,136,19,54,87.74193548387096,74.16267942583733
clip_vit_b_32,123,19,67,86.61971830985915,67.94258373205741
