model,accuracy,macro_f1,mean_max_conf
resnet50,0.972,0.9720103238996813,0.9467865623235703
vit_b_16,0.97,0.9700309264401273,0.9650551374554635
clip_vit_b_32,0.966,0.9658979411429064,0.2410136658847332
clip_zero_shot,0.936,0.9355462540236349,0.9246221264600754
